layer,patch_index,mi_score_mean_over_windows,group
7,0,0.04235676646232605,low
7,1,0.04379754349589348,low
7,2,0.045278417021036146,low
7,3,0.04601565659046173,low
7,4,0.045706125646829604,low
7,5,0.044599769115447996,low
7,6,0.04465613707900047,low
7,7,0.04415087699890137,low
7,8,0.044212963879108426,low
7,9,0.04536104246973991,low
7,10,0.04473452433943748,low
7,11,0.04460237711668014,low
7,12,0.04603419989347458,low
7,13,0.046044501811265945,low
7,14,0.04547077879309654,low
7,15,0.04561294794082642,low
7,16,0.046409177482128146,low
7,17,0.04731117382645607,low
7,18,0.047806243598461154,high
7,19,0.047730753272771834,high
7,20,0.0463420344889164,low
7,21,0.04749774053692818,high
7,22,0.04796646282076836,high
7,23,0.04745586767792702,high
7,24,0.04703189015388489,low
7,25,0.04791213303804397,high
7,26,0.04724044665694237,low
7,27,0.04811794236302376,high
