a_init,b_init,mse,mae,metrics_json,status
0.1,0.1,0.35262051224708557,0.3891916573047638,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p1.json,ok
0.1,0.3,0.35267090797424316,0.3890673816204071,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p3.json,ok
0.1,0.5,nan,nan,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p5.json,fail_rc1
0.1,0.7,nan,nan,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p7.json,fail_rc1
0.1,0.1,0.6446529626846313,0.5525743961334229,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p1.json,ok
0.1,0.3,0.644779622554779,0.5524793863296509,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p3.json,ok
0.1,0.5,0.644952654838562,0.5524076223373413,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p5.json,ok
0.1,0.1,0.3515278995037079,0.38883355259895325,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p1.json,ok
0.1,0.3,0.3503979444503784,0.38806766271591187,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p3.json,ok
0.1,0.5,0.3527565598487854,0.38907334208488464,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p5.json,ok
0.1,0.7,0.35538312792778015,0.3913607895374298,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p7.json,ok
0.1,0.9,0.3506694436073303,0.3892956078052521,./outputs/geo_hpe_ab_grid/metrics_a0p1_b0p9.json,ok
0.3,0.1,0.3530336320400238,0.38972121477127075,./outputs/geo_hpe_ab_grid/metrics_a0p3_b0p1.json,ok
0.3,0.3,0.35202956199645996,0.3890426754951477,./outputs/geo_hpe_ab_grid/metrics_a0p3_b0p3.json,ok
0.3,0.5,0.3501106798648834,0.38843414187431335,./outputs/geo_hpe_ab_grid/metrics_a0p3_b0p5.json,ok
0.3,0.7,0.351564884185791,0.3884584605693817,./outputs/geo_hpe_ab_grid/metrics_a0p3_b0p7.json,ok
0.3,0.9,0.35303568840026855,0.38918012380599976,./outputs/geo_hpe_ab_grid/metrics_a0p3_b0p9.json,ok
0.5,0.1,0.35282549262046814,0.3894835114479065,./outputs/geo_hpe_ab_grid/metrics_a0p5_b0p1.json,ok
0.5,0.3,0.35268113017082214,0.3892984986305237,./outputs/geo_hpe_ab_grid/metrics_a0p5_b0p3.json,ok
0.5,0.5,0.3528120815753937,0.38926517963409424,./outputs/geo_hpe_ab_grid/metrics_a0p5_b0p5.json,ok
0.5,0.7,0.3527834415435791,0.38919487595558167,./outputs/geo_hpe_ab_grid/metrics_a0p5_b0p7.json,ok
0.5,0.9,0.35325103998184204,0.3892272710800171,./outputs/geo_hpe_ab_grid/metrics_a0p5_b0p9.json,ok
0.7,0.1,0.3527472913265228,0.38951608538627625,./outputs/geo_hpe_ab_grid/metrics_a0p7_b0p1.json,ok
0.7,0.3,0.35266441106796265,0.3893725275993347,./outputs/geo_hpe_ab_grid/metrics_a0p7_b0p3.json,ok
0.7,0.5,0.3527587354183197,0.3892207741737366,./outputs/geo_hpe_ab_grid/metrics_a0p7_b0p5.json,ok
0.7,0.7,0.3529428541660309,0.3893010914325714,./outputs/geo_hpe_ab_grid/metrics_a0p7_b0p7.json,ok
0.7,0.9,0.35293814539909363,0.3893403708934784,./outputs/geo_hpe_ab_grid/metrics_a0p7_b0p9.json,ok
0.9,0.1,0.3527975082397461,0.38947877287864685,./outputs/geo_hpe_ab_grid/metrics_a0p9_b0p1.json,ok
0.9,0.3,0.35282638669013977,0.38943785429000854,./outputs/geo_hpe_ab_grid/metrics_a0p9_b0p3.json,ok
0.9,0.5,0.3528595268726349,0.3893619179725647,./outputs/geo_hpe_ab_grid/metrics_a0p9_b0p5.json,ok
0.9,0.7,0.35275664925575256,0.3893685042858124,./outputs/geo_hpe_ab_grid/metrics_a0p9_b0p7.json,ok
0.9,0.9,0.3528292775154114,0.38925719261169434,./outputs/geo_hpe_ab_grid/metrics_a0p9_b0p9.json,ok
